Date,PPO Agent,Equal-Weight (1/N),Nifty BeES B&H,MVO λ=0.5,MVO λ=1.0,MVO λ=2.0
2022-12-23,1.257458601301677,1.2043385722038513,1.220968966398509,1.291844918521665,1.3275199301763165,1.2879685128203269
2022-12-26,1.2420068010615692,1.213439652098451,1.233982636730043,1.3101937624711104,1.3475564031009828,1.3092927616145402
2022-12-27,1.251635411733627,1.2174808031216873,1.2388002198715922,1.3127265227077594,1.35144797209211,1.3151254058698156
2022-12-28,1.2518244990329177,1.2158370214644127,1.2387376885722696,1.3103576595096516,1.3493681932995034,1.3136733730527883
2022-12-29,1.2489728338225101,1.21930599672161,1.2436803343124636,1.3179025499934494,1.3580989897741294,1.3237042103865155
2022-12-30,1.2518004128621645,1.2135897815731305,1.239050440536515,1.3028469065850077,1.3425143955372931,1.3084032992954837
2023-01-02,1.2401661436961007,1.219802062891732,1.2471839964271783,1.3095801101040807,1.350183808449196,1.3170416359994914
2023-01-03,1.2475522931707592,1.2216705320064654,1.2493112062157354,1.3107779028811395,1.3521952655304503,1.3202389748110894
2023-01-04,1.2441328432026304,1.2106926069652035,1.2367355413823564,1.2993754120073673,1.339692713937322,1.3068557850726943
2023-01-05,1.2392084041487201,1.2061152738502405,1.2329816586027191,1.2889792924607564,1.3269291838976034,1.2911523570878272
2023-01-06,1.2371163875935243,1.193795112015324,1.224535255280178,1.2812315317004557,1.318561554017808,1.282386198082122
2023-01-09,1.229079784974473,1.2136846898839004,1.2405520509289492,1.2888254030017847,1.3258685008271014,1.2886828225334528
2023-01-10,1.243516992568391,1.2016618043049279,1.2271004705668913,1.2742582776055533,1.3090814956611416,1.2694950843470376
2023-01-11,1.2382570277656044,1.2024970832968687,1.2271004705668913,1.2795162297720977,1.3163757188579475,1.2795901197566428
2023-01-12,1.2308770045637318,1.1978566353143982,1.2238470291170995,1.278636830151952,1.3153315897645015,1.2783529508076135
2023-01-13,1.2265287616715985,1.2069170639100424,1.2301035958841278,1.2899000669733962,1.326141338973104,1.287620459350055
2023-01-16,1.2414649097509574,1.2049515836668716,1.2266624650687357,1.2774630682134036,1.3140864596638946,1.2770827470209978
2023-01-17,1.2309860901349152,1.2189450502685106,1.2354842471224776,1.2919786906653137,1.3270813557373393,1.2866236484293463
2023-01-18,1.246708832609292,1.225373730827414,1.2428669500831073,1.3055718506324017,1.3409472905840243,1.2999127079295172
2023-01-19,1.2542533570266121,1.218888038315702,1.2414904977569503,1.3022238696388224,1.3387568266101895,1.299782453027737
2023-01-20,1.2449162669592428,1.2106290426139386,1.2353590890561998,1.3081689066374538,1.3443785240151636,1.3031759164343002
2023-01-23,1.2258795045030844,1.2210909806722694,1.2415531245239055,1.3141267095336964,1.3507154572731985,1.3100139325522795
2023-01-24,1.2373270122002868,1.2216624618769039,1.241427966457628,1.320622857066442,1.357455805123418,1.3167566910162687
2023-01-25,1.237602731871442,1.2098958259549308,1.2265373070024586,1.2933776042350416,1.3298040623493128,1.291080785575708
2023-01-27,1.230593354199438,1.188073704610425,1.2075173860364508,1.2560851852102402,1.2932293659660823,1.261306900469162
2023-01-30,1.2041187192527156,1.1921714291019276,1.2090815277282079,1.2596775570109093,1.2965521322879718,1.2633300312555984
2023-01-31,1.1990957018598853,1.1894629708449727,1.2102702906887646,1.2616034345965212,1.2979934048475108,1.2629812244800365
2023-02-01,1.2055925921927058,1.1984147202203326,1.208330770265807,1.2784602615654659,1.3140860182971463,1.2745857999062653
2023-02-02,1.2133973252254866,1.2074930338257723,1.2069543179396498,1.2764890777052686,1.3112828826050404,1.2693453933769778
2023-02-03,1.2305575309748147,1.2204295397978908,1.2207812770329083,1.3004941493972917,1.3362301300159658,1.2944294683005582
2023-02-06,1.2392900098256625,1.2089796694607062,1.2167770781207154,1.2913510351297555,1.3273497071287446,1.2874952497273278
2023-02-07,1.2308008419198408,1.2085466002998626,1.214024173468402,1.2909785347189147,1.32689764681817,1.2868322814212307
2023-02-08,1.222496938038689,1.216653212576504,1.2234090236189443,1.296699980560628,1.3327941606008622,1.292602283372468
2023-02-09,1.2241599770182792,1.2214045953738328,1.2255988601744576,1.2970885388122395,1.3331813960523007,1.2929384493244014
2023-02-10,1.22629528166177,1.2178707795509542,1.2230962716546994,1.2944603822103722,1.3308496454890124,1.2918763233104358
2023-02-13,1.220200705495623,1.2097127478632932,1.2175279310507492,1.291765128734377,1.3280298033301097,1.2889806668635033
2023-02-14,1.218046695116526,1.2211219296218179,1.226161928271258,1.3072424567622305,1.3433287474537297,1.3018412633203718
2023-02-15,1.227433349255366,1.226757155815527,1.233044189902042,1.310914916199909,1.3470548438980299,1.3052973185500045
2023-02-16,1.225599117041764,1.2271924306196957,1.2347334896600763,1.3085417945417828,1.3447948935657514,1.3036871535494745
2023-02-17,1.2209622022746287,1.2175485345910395,1.2281640754611702,1.3004327216603597,1.3366153851465916,1.2962582368715
2023-02-20,1.2136557064833948,1.2102222146586352,1.223721871050822,1.2882353839610268,1.3246050833050302,1.2863188996753514
2023-02-21,1.2062464840361262,1.2089693665273273,1.2216571925615862,1.2867494845144458,1.322787066912847,1.285159009589059
